Experiment,Egg_ID,pX,pY,tX,tY
1000,0,0.5213857379750627,0.6038418470063296,0.18965801180804032,0.9804795529847606
1000,1,0.47094179732225394,0.20324794254467882,0.3928450414308664,0.4534532840537987
1000,2,0.5287590256200526,0.19103628008078877,0.27428462096838424,0.32276649742910524
1000,3,0.2815455986418517,0.753681552191594,0.6274170454901565,0.4313652482907151
1000,4,0.5516717767312141,0.8637220757083885,0.07660225369772666,0.09861362276386954
1000,5,0.8053722209059218,0.24837266320613882,0.06647744279928314,0.7077515031149306
1000,6,0.18985741208154028,0.9839955818921721,0.908492039582783,0.40254213368354597
1000,7,0.669997165946232,0.2803828299787884,0.5030642085647343,0.2418855864675593
1000,8,0.20391323427420127,0.6250646854524542,0.6987429937211708,0.8856936506916816
1000,9,0.6526043158620559,0.8988075287484649,0.9354232100742654,0.19316748797252337
1000,10,0.974763780707167,0.15393236950220446,0.9590955489453454,0.6749936438453978
1000,11,0.6990892753701047,0.44724144689102074,0.7407001850364473,0.434063633716972
1000,12,0.01751320910460452,0.29102490559414307,0.6199962558361036,0.529648912054982
1000,13,0.3812366109308799,0.3210279121387014,0.659872630648908,0.7979731313912534
1000,14,0.9425446680115734,0.7026669725351259,0.1322604894351952,0.8662911291084453
1000,15,0.1364503186469025,0.3432090734659071,0.7072485498912005,0.3475681552886646
1000,16,0.8119946025956372,0.1484940005253066,0.4149518121876341,0.27558003785811425
1000,17,0.05932569150816602,0.31441663418966115,0.46345484353211963,0.4404498352449824
1000,18,0.4201564531486972,0.8080177080661693,0.10794388216335582,0.5669840762960882
1000,19,0.009507586149987812,0.45408378825522866,0.21903772000629906,0.38334926323730867
1000,20,0.5586869855327257,0.002888633811329533,0.801468446415753,0.9079503656181568
1000,21,0.2977575692859733,0.05379910883697381,0.33521469949345006,0.15266462639117018
1000,22,0.5676687538421876,0.9405581496364512,0.6571044270060105,0.25120889987399275
1000,23,0.7242737167653064,0.85637808998257,0.8856003823972155,0.1724214510265365
1000,24,0.5443156497493541,0.37965068970017857,0.40997060436414057,0.4718062410264465
1000,25,0.6044247282655253,0.7346039924282802,0.1348134101332824,0.5475008526195583
1000,26,0.9884081234082996,0.892240908774465,0.20436349995029524,0.7780422778404025
1000,27,0.5196417809777079,0.20820683854727529,0.5464689909464726,0.6353266302775044
1000,28,0.2989405121930696,0.8355254093543386,0.06913432963971267,0.9561320219245817
1000,29,0.18450649293163557,0.18375199251705476,0.199429237951247,0.2835088652286557
